Week,Day,What
1,Tu,<b>Welcome and course overview. Moral judgment in everyday life: the case of offensive comedy.</b> WWYD video at https://youtu.be/_Z6iE4BURpY The Atlantic article at http://www.theatlantic.com/magazine/archive/2015/09/thats-not-funny/399335/
1,Th,<b>Quiz. Chaurand & Brauer (2008)</b>
2,Tu,"<b>Quiz. Haidt: Intro., 1, 2.</b> Optional background info: There are many Haidt videos online, here are two. Haidt talks about part II of the book, especially starting 25 minutes in: https://youtu.be/ONUM4akzLGE?t=25m25s Haidt talks about part III of the righteous mind: https://youtu.be/2APK3tlPL_0"
2,Th,"<b>Quiz. Haidt: 3, 4</b>"
3,Tu,"<b>Quiz. Haidt: 5, 6</b>"
3,Th,"<b>Quiz. Haidt: 7, 8</b>"
4,Tu,"<b>Quiz. Haidt: 9, 10</b>"
4,Th,"<b>Quiz. Haidt: 11, 12, Conclusion</b>"
5,Tu,<b>Quiz: Janoff-Bulman & Carnes (2013).</b> Optional background info: Janoff-Bulman talks about MMM and politics at https://youtu.be/tJr7ejEzdiA
5,Th,<b>Review.</b>
6,Tu,<b>Exam.</b>
6,Th,<b>Quiz. Tomasello: Preface and 1.</b> Optional background info: Tomasello summarizes at https://vimeo.com/55035079
7,Tu,<b>Quiz. Tomasello: 2.</b>
7,Th,<b>Quiz. Tomasello: 3.</b>
8,Tu,<b>Quiz. Tomasello: 4.</b>
8,Th,"<b>Quiz. Tomasello: 5, Conclusion.</b>"
9,Tu,<b>Quiz. Batson (2011).</b> Optional background info: Batson talks about moral character at https://youtu.be/F8lr6oel5DI
9,Th,<b>Quiz. Lahti (2013).</b> Optional background info: Lahti talks about this essay at https://vimeo.com/220985538
Break,,
10,Tu,<b>Extended Spring Break due to corona virus disruption.</b> <br><small>(Previously: Review.)</small>
10,Th,<b>Extended Spring Break due to corona virus disruption.</b> <br><small>(Previously: Exam.)</small>
11,Tu,"<b>Review.</b> <br><small>(Previously: Quiz. Wegner & Gray: 1, 2. Optional background info: Gray talks about mind perception at https://youtu.be/AQmQMCi5mNc .)</small>"
11,Th,"<b>Exam.</b> <br><small>(Previously: Quiz. Wegner & Gray: 3, 4.)</small>"
12,Tu,"<b>Quiz. Wegner & Gray: 1, 2. Optional background info: Gray talks about mind perception at https://youtu.be/AQmQMCi5mNc .</b> <br><small>(Previously: Quiz. Wegner & Gray: 5, 6.)</small>"
12,Th,"<b>Quiz. Wegner & Gray: 3, 4.</b> <br><small>(Previously: Quiz. Wegner & Gray: 7, 8.)</small>"
13,Tu,"<b>Quiz. Wegner & Gray: 5, 6.</b> <br><small>(Previously: Quiz. Wegner & Gray: 9, 10.)</small>"
13,Th,"<b>Quiz. Wegner & Gray: 7, 8.</b> <br><small>(Previously: Quiz. Goodwin (2015).)</small>"
14,Tu,"<b>Quiz. Wegner & Gray: 9, 10.</b> <br><small>(Previously: Quiz. Uhlmann, Pizarro, & Diermeier (2015).)</small>"
14,Th,"<b>Quiz. Goodwin (2015).</b> <br><small>(Previously: No class due to Conference of Midwestern Psych Association, but that was canceled.)</small>"
15,Tu,"<b>Quiz. Uhlmann, Pizarro, & Diermeier (2015)</b> <br><small>(Previously: Quiz. Liddell & Kruschke (2014), Celestin & Kruschke (2019).)</small>"
15,Th,<b>Review and Overview.</b>
Finals,,"<b>Final Exam, Th 05/07/20, 5:00-7:00PM</b>"
